Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Japan,JPN,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.89
Japan,JPN,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.84
Japan,JPN,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.5
Japan,JPN,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.92
Japan,JPN,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.04
Japan,JPN,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.96
Japan,JPN,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.87
Japan,JPN,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.2
Japan,JPN,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.99
Japan,JPN,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.23
Japan,JPN,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,12.29
Japan,JPN,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,12.16
Japan,JPN,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,11.12
Japan,JPN,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,12.29
Japan,JPN,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,12.64
Japan,JPN,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.0
Japan,JPN,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.0
Japan,JPN,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.1
Japan,JPN,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.1
Japan,JPN,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.2
Japan,JPN,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.3
Japan,JPN,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.5
Japan,JPN,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.7
Japan,JPN,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.9
Japan,JPN,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,20.1
Japan,JPN,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,20.4
Japan,JPN,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,20.6
Japan,JPN,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,20.9
Japan,JPN,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,21.1
Japan,JPN,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,21.2
Japan,JPN,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,21.3
Japan,JPN,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,21.4
Japan,JPN,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,21.4
Japan,JPN,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,21.4
Japan,JPN,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,21.3
Japan,JPN,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,16.7
Japan,JPN,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,16.5
Japan,JPN,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,16.2
Japan,JPN,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,16.0
Japan,JPN,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.8
Japan,JPN,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.7
Japan,JPN,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.5
Japan,JPN,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.4
Japan,JPN,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.4
Japan,JPN,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.3
Japan,JPN,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.2
Japan,JPN,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.2
Japan,JPN,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.1
Japan,JPN,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.1
Japan,JPN,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.0
Japan,JPN,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,14.9
Japan,JPN,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,14.9
Japan,JPN,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,14.9
Japan,JPN,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,14.9
Japan,JPN,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,15.1
Japan,JPN,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,18.9
Japan,JPN,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,18.9
Japan,JPN,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.0
